ID,Category,Subcategory,Question,Answer,Keywords,Priority,Estimated_Volume
waste_cart_001,Waste Management,Cart Management,How do I get a trash cart?,"Trash carts are provided FREE to residents in Louisville's Urban Services District. If you're a new resident or need a cart, call 311 and request 'Waste Container Request - New.' The standard size is 95 gallons. Your cart will be delivered to your address within 7-10 business days. The cart remains city property.","trash cart, garbage cart, get cart, new cart, request cart",CRITICAL,HIGH
waste_cart_002,Waste Management,Cart Management - Recycling,How do I get a recycling cart?,"Call 311 and request a recycling cart by selecting 'Waste Container Request' then 'New.' The standard size is 95 gallons and is FREE for residents in the Urban Services District. You can also request online at louisvilleky.gov/311 or through the Recycle Coach app. Your cart will be delivered within 7-10 business days.","recycling cart, recycle bin, get recycling, request recycling cart",CRITICAL,HIGH
waste_cart_003,Waste Management,Cart Replacement,My trash cart is damaged or broken. How do I get it replaced?,"Call 311 to report a damaged cart and request a replacement. Describe the damage (cracked body, broken wheels, damaged lid, etc.). Metro will schedule a replacement cart delivery, typically within 7-10 business days. The cart is city property, so replacement is FREE. Common issues include cracked carts, broken wheels, or damaged lids.","damaged cart, broken cart, cracked cart, cart replacement, broken wheels, damaged lid",CRITICAL,MEDIUM-HIGH
waste_cart_004,Waste Management,Cart Theft,My trash cart was stolen. What should I do?,"Call 311 immediately to report the stolen cart and request a replacement. You may also want to file a police report by calling the non-emergency number: 502-574-5673. Metro will provide a replacement cart FREE of charge within 7-10 business days. Be sure to have your address ready when you call.","stolen cart, missing cart, cart theft, cart disappeared",CRITICAL,MEDIUM
waste_cart_005,Waste Management,Cart Limits,What's the weight limit for my trash cart?,"The maximum weight limit for your trash cart is 200 pounds. If your cart is too heavy, the automated lift on the collection truck may not be able to pick it up, and your trash will not be collected. Make sure the lid closes completely - if it doesn't, the cart may be too full or too heavy. Reduce the weight by removing some items or requesting an additional cart.","weight limit, cart weight, too heavy, 200 pounds, cart capacity",CRITICAL,MEDIUM
waste_cart_006,Waste Management,Extra Cart,Can I get an extra trash or recycling cart?,"Yes, you can request an additional cart if needed. Call 311 and explain why you need an extra cart (large family, excess recyclables, etc.). There may be an additional monthly fee for a second trash cart, but additional recycling carts are typically provided FREE. Metro will evaluate your request and let you know if approved. The standard cart size is 95 gallons.","extra cart, second cart, additional cart, another cart, more carts",CRITICAL,MEDIUM
waste_schedule_001,Waste Management,Holiday Schedule,Is there trash pickup on holidays?,"No, there is NO waste collection on Metro Government holidays. These holidays are: New Year's Day, Martin Luther King Jr. Day, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. When a holiday falls during the week, your collection will be delayed by one day for the rest of that week.","holiday pickup, holiday schedule, trash holiday, no pickup, closed holidays",CRITICAL,HIGH (seasonal)
waste_schedule_002,Waste Management,Holiday Delay,What happens to my trash schedule when there's a holiday?,"When a Metro holiday falls during the week, all trash, recycling, and yard waste collections are delayed by ONE DAY for the rest of that week. For example, if Monday is a holiday, Monday's route runs on Tuesday, Tuesday's route runs on Wednesday, and so on. Download the free Recycle Coach app to get automatic schedule updates and reminders. You can also call 311 to confirm your adjusted schedule.","holiday delay, delayed pickup, schedule change, one day delay, holiday week",CRITICAL,HIGH (seasonal)
waste_hazardous_001,Waste Management,Hazardous Waste Disposal,Where can I dispose of hazardous waste in Louisville?,"Take household hazardous waste to the Haz Bin at 7501 Grade Lane. Hours: Tuesday-Saturday, 9:30 AM - 4:00 PM. It's FREE for Louisville/Jefferson County residents. Accepted items include: paint, motor oil, batteries, gasoline, cleaners, pesticides, fire extinguishers, fluorescent light bulbs, chemicals, antifreeze, and more. Do NOT put hazardous waste in your regular trash. This facility is for residents only, not businesses.","hazardous waste, haz bin, dangerous items, chemicals, disposal center, Grade Lane",CRITICAL,HIGH
waste_hazardous_002,Waste Management,Paint Disposal,How do I dispose of paint?,"Oil-based paint or lead paint: Take to the Haz Bin at 7501 Grade Lane (Tuesday-Saturday, 9:30 AM-4 PM, FREE for residents). Latex paint: Can go in your regular trash ONLY if the paint is completely dry. To dry latex paint, remove the lid, add kitty litter or sand, let it harden completely, then place in trash with the lid off so collectors can see it's dry. Do NOT pour paint down drains.","paint disposal, dispose paint, old paint, latex paint, oil paint, haz bin",CRITICAL,MEDIUM-HIGH
