ID,Category,Subcategory,Question,Answer,Keywords,Priority,Estimated_Volume
waste_cart_001,Waste Management,Cart Management,How do I get a trash cart?,"Trash carts are provided FREE to residents in Louisville's Urban Services District. You can request a cart using the Metro311 mobile app (select 'Waste Container Request' > 'New') or by calling 311. You can also request online at louisvilleky.gov/311. The standard size is 95 gallons. Your cart will be delivered to your address within 7-10 business days. The cart remains city property.","trash cart, garbage cart, get cart, new cart, request cart",CRITICAL,HIGH
waste_cart_002,Waste Management,Cart Management - Recycling,How do I get a recycling cart?,"You can request a FREE recycling cart using the Metro311 mobile app (select 'Waste Container Request' > 'New'), by calling 311, or online at louisvilleky.gov/311. You can also use the Recycle Coach app for collection schedules. The standard size is 95 gallons and is FREE for residents in the Urban Services District. Your cart will be delivered within 7-10 business days.","recycling cart, recycle bin, get recycling, request recycling cart",CRITICAL,HIGH
waste_cart_003,Waste Management,Cart Replacement,My trash cart is damaged or broken. How do I get it replaced?,"Report a damaged cart using the Metro311 mobile app (select 'Waste Container Request' > 'Damaged') or by calling 311. Describe the damage (cracked body, broken wheels, damaged lid, etc.). Metro will schedule a replacement cart delivery, typically within 7-10 business days. The cart is city property, so replacement is FREE. Common issues include cracked carts, broken wheels, or damaged lids.","damaged cart, broken cart, cracked cart, cart replacement, broken wheels, damaged lid",CRITICAL,MEDIUM-HIGH
waste_cart_004,Waste Management,Cart Theft,My trash cart was stolen. What should I do?,"Report the stolen cart immediately using the Metro311 mobile app (select 'Waste Container Request' > 'Stolen') or by calling 311. You may also want to file a police report by calling the non-emergency number: 502-574-5673. Metro will provide a replacement cart FREE of charge within 7-10 business days. Be sure to have your address ready when you report.","stolen cart, missing cart, cart theft, cart disappeared",CRITICAL,MEDIUM
waste_cart_005,Waste Management,Cart Limits,What's the weight limit for my trash cart?,"The maximum weight limit for your trash cart is 200 pounds. If your cart is too heavy, the automated lift on the collection truck may not be able to pick it up, and your trash will not be collected. Make sure the lid closes completely - if it doesn't, the cart may be too full or too heavy. Reduce the weight by removing some items or requesting an additional cart via the Metro311 app or by calling 311.","weight limit, cart weight, too heavy, 200 pounds, cart capacity",CRITICAL,MEDIUM
waste_cart_006,Waste Management,Extra Cart,Can I get an extra trash or recycling cart?,"Yes, you can request an additional cart if needed. Call 311 or use the Metro311 mobile app to explain why you need an extra cart (large family, excess recyclables, etc.). There may be an additional monthly fee for a second trash cart, but additional recycling carts are typically provided FREE. Metro will evaluate your request and let you know if approved. The standard cart size is 95 gallons.","extra cart, second cart, additional cart, another cart, more carts",CRITICAL,MEDIUM
waste_schedule_001,Waste Management,Holiday Schedule,Is there trash pickup on holidays?,"No, there is NO waste collection on Metro Government holidays. These holidays are: New Year's Day, Martin Luther King Jr. Day, Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. When a holiday falls during the week, your collection will be delayed by one day for the rest of that week. Download the Recycle Coach app for automatic holiday schedule alerts.","holiday pickup, holiday schedule, trash holiday, no pickup, closed holidays",CRITICAL,HIGH (seasonal)
waste_schedule_002,Waste Management,Holiday Delay,What happens to my trash schedule when there's a holiday?,"When a Metro holiday falls during the week, all trash, recycling, and yard waste collections are delayed by ONE DAY for the rest of that week. For example, if Monday is a holiday, Monday's route runs on Tuesday, Tuesday's route runs on Wednesday, and so on. Download the free Recycle Coach app or use the Metro311 app to get automatic schedule updates and reminders. You can also call 311 to confirm your adjusted schedule.","holiday delay, delayed pickup, schedule change, one day delay, holiday week",CRITICAL,HIGH (seasonal)
waste_hazardous_001,Waste Management,Hazardous Waste Disposal,Where can I dispose of hazardous waste in Louisville?,"Take household hazardous waste to the Haz Bin at 7501 Grade Lane. Hours: Tuesday-Saturday, 9:30 AM - 4:00 PM. It's FREE for Louisville/Jefferson County residents. Accepted items include: paint, motor oil, batteries, gasoline, cleaners, pesticides, fire extinguishers, fluorescent light bulbs, chemicals, antifreeze, and more. Do NOT put hazardous waste in your regular trash. This facility is for residents only, not businesses. For more information, visit louisvilleky.gov or call 311.","hazardous waste, haz bin, dangerous items, chemicals, disposal center, Grade Lane",CRITICAL,HIGH
waste_hazardous_002,Waste Management,Paint Disposal,How do I dispose of paint?,"Oil-based paint or lead paint: Take to the Haz Bin at 7501 Grade Lane (Tuesday-Saturday, 9:30 AM-4 PM, FREE for residents). Latex paint: Can go in your regular trash ONLY if the paint is completely dry. To dry latex paint, remove the lid, add kitty litter or sand, let it harden completely, then place in trash with the lid off so collectors can see it's dry. Do NOT pour paint down drains. Call 311 or use the Recycle Coach app for disposal guidance on specific items.","paint disposal, dispose paint, old paint, latex paint, oil paint, haz bin",CRITICAL,MEDIUM-HIGH
waste_hazardous_003,Waste Management,Battery Disposal,Where can I dispose of batteries?,"Take batteries to the Haz Bin at 7501 Grade Lane (Tuesday-Saturday, 9:30 AM-4 PM, FREE for residents). This includes auto batteries, household batteries (AA, AAA, C, D, 9V), and rechargeable batteries. Do NOT put batteries in your regular trash or recycling - they can cause fires in collection trucks. Many retailers (Best Buy, Home Depot, Lowe's) also accept batteries for recycling. Use the Recycle Coach app to search for disposal options for specific items.","battery disposal, dispose batteries, car battery, household batteries, rechargeable batteries, haz bin",CRITICAL,MEDIUM-HIGH
waste_hazardous_004,Waste Management,Electronics Disposal,How do I dispose of electronics and e-waste?,"Drop off electronics at the Waste Reduction Center (636 Meriwether Avenue) for FREE. You can bring up to 3 electronic items per day. Accepted items: TVs, computers, monitors, printers, microwaves, small appliances, cell phones, and other electronics. Hours: Monday-Saturday. Do NOT put electronics in your regular trash - they contain materials that need special recycling. For large appliances (refrigerators, washers, etc.), schedule a pickup via the Metro311 app or call 311.","electronics, e-waste, TV disposal, computer disposal, recycle electronics, appliances",CRITICAL,MEDIUM-HIGH
waste_schedule_003,Waste Management,Pickup Schedule,What are my trash, recycling, or yard waste pickup dates for this address?,"To find your specific pickup schedule: (1) Use the Metro311 mobile app and enter your address in the MyLouisville section to see your personalized collection days, (2) Download the FREE Recycle Coach app which shows your complete schedule with reminders for trash, recycling, and yard waste, (3) Visit louisvilleky.gov/311 and use the address lookup tool, or (4) Call 311 with your address. Trash and recycling are collected on the same day weekly. Yard waste is collected weekly April-December and biweekly in winter.","pickup schedule, collection days, trash day, recycling day, yard waste day, my schedule, pickup dates",CRITICAL,HIGH
waste_eligibility_001,Waste Management,Service Eligibility,Is this address eligible for city-provided sanitation service?,"City-provided waste collection is available to residents within the Urban Services District. To check if your address is eligible: (1) Use the Metro311 mobile app's MyLouisville feature to look up your address, (2) Visit louisvilleky.gov/311 and enter your address in the lookup tool, or (3) Call 311 with your address. Eligible properties include single-family homes and buildings with 8 or fewer units. Residents outside the Urban Services District or in small cities within Jefferson County must contact their city administrator or arrange private waste collection.","eligible, eligibility, service area, urban services district, qualify, available, my address",CRITICAL,HIGH
waste_missed_001,Waste Management,Missed Pickup,How do I report a missed trash, recycling, or yard waste pickup?,"If your trash, recycling, or yard waste was not collected by the end of your scheduled day: (1) Use the Metro311 mobile app and select 'Trash Complaints and Violations' then 'Missed Waste Services', (2) Call 311 or 574-5000 with your address and the type of collection missed, or (3) Report online at louisvilleky.gov/311. Crews will collect missed items within 72 hours after the report is made. Make sure your cart was placed at the curb by 6 AM on collection day with the arrow pointing toward the street.","missed pickup, not collected, forgot, skipped, trash not picked up, recycling not collected, missed collection",CRITICAL,HIGH
waste_dumping_001,Waste Management,Illegal Dumping,How do I report illegal dumping or other waste-related issues?,"To report illegal dumping, waste violations, or improper disposal: (1) Use the Metro311 mobile app to report with photos and location details, (2) Call 311 or 574-5000 to report the issue, or (3) Report online at louisvilleky.gov/311. Provide the specific address or location, type of materials dumped, and any details about vehicles or people involved if witnessed. Illegal dumping is unlawful and violators face fines and vehicle impoundment. You can also report littering through louisvilleky.gov/government/brightside/report-litterer.","illegal dumping, report dumping, waste violation, improper disposal, trash violation, littering, report litter",CRITICAL,MEDIUM-HIGH
waste_department_001,Waste Management,Department Info,Which city service or department handles my trash, recycling, or yard waste?,"Waste collection services in Louisville are handled by Louisville Metro Public Works - Solid Waste Management Services Division. This department manages all residential garbage, recycling, and yard waste collection within the Urban Services District. For service questions, cart requests, missed pickups, or schedule information, contact them through Metro311 (call 311 or 574-5000), use the Metro311 mobile app, or visit louisvilleky.gov/government/public-works. The department also operates the Haz Bin (hazardous waste) and Waste Reduction Center (electronics recycling).","department, which department, who handles, public works, solid waste, service provider, city department, waste management division",CRITICAL,MEDIUM
waste_forms_001,Waste Management,Forms & Resources,Where can I find forms related to sanitation or waste services?,"Most waste services in Louisville do not require paper forms. Instead, use the Metro311 system: (1) Metro311 mobile app for cart requests, missed pickups, and violation reports, (2) Call 311 for phone assistance, or (3) Visit louisvilleky.gov/311 for online service requests. For special accommodations, residents who cannot set out containers may apply for a Waste Set-Out Variance (requires doctor's note or property photos, renewed annually). For general information and resources, visit louisvilleky.gov/government/public-works/solid-waste-management-services or contact Public Works at 311.","forms, documents, waste forms, application, sanitation forms, request form, variance, paperwork",CRITICAL,MEDIUM
waste_schedule_004,Waste Management,Cart Placement Timing,What time should I put my trash cart out?,"Place your cart at the curb no later than 6:00 AM on your collection day, but no earlier than 4:00 PM the day before collection. Position the cart at the edge of the curb or alley with the arrow on the lid pointing toward the street. Keep the cart at least 3 feet away from other carts, cars, mailboxes, or other objects so the automated lift can access it. Bring your cart back in promptly after collection. Set reminders using the Metro311 app or Recycle Coach app to never miss your collection day.","cart time, when put out, cart placement, 6 AM, collection time",CRITICAL,MEDIUM
waste_schedule_005,Waste Management,Cart Timing - Night Before,Can I put my trash out the night before pickup?,"Yes, you can put your trash cart out as early as 4:00 PM the day before your scheduled pickup day. However, it must be out no later than 6:00 AM on collection day. Place the cart at the edge of the curb with the arrow pointing toward the street, at least 3 feet from other objects. Avoid putting carts out too early as they may be knocked over by wind, animals, or vehicles. Bring your cart back in promptly after collection. Use the Metro311 app or Recycle Coach app to track your collection schedule.","night before, put out early, day before, 4 PM, early placement",CRITICAL,MEDIUM
